,filename,loc,cam,date,time,properties,alto,alto_sun,cannot_process,clear_sky,clear_sky_sun,high_clouds,high_clouds_sun,low_clouds,low_clouds_sun,low_clouds_total,low_clouds_total_sun
0,houstereocamaS5.a1.20220309.132140_c.jpg,HOU,s5,20220309,132140,low_clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,houstereocamaS5.a1.20220309.141940_c.jpg,HOU,s5,20220309,141940,low_clouds_total_sun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,houstereocamaS5.a1.20220309.155040_c.jpg,HOU,s5,20220309,155040,low_clouds_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,houstereocamaS5.a1.20220309.192740_c.jpg,HOU,s5,20220309,192740,low_clouds_sun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,houstereocamaS5.a1.20220309.195140_c.jpg,HOU,s5,20220309,195140,low_clouds_sun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,houstereocamaS5.a1.20220309.210800_c.jpg,HOU,s5,20220309,210800,low_clouds_sun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,houstereocamaS5.a1.20220309.222000_c.jpg,HOU,s5,20220309,222000,high_clouds_sun,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,houstereocamaS5.a1.20220309.223920_c.jpg,HOU,s5,20220309,223920,alto_sun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,houstereocamaS5.a1.20220309.231200_c.jpg,HOU,s5,20220309,231200,alto_sun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,houstereocamaS5.a1.20220321.121740_c.jpg,HOU,s5,20220321,121740,cannot_process,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,houstereocamaS5.a1.20220321.122100_c.jpg,HOU,s5,20220321,122100,cannot_process,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,houstereocamaS5.a1.20220321.124620_c.jpg,HOU,s5,20220321,124620,cannot_process,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,houstereocamaS5.a1.20220321.200900_c.jpg,HOU,s5,20220321,200900,cannot_process,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,houstereocamaS5.a1.20220321.211220_c.jpg,HOU,s5,20220321,211220,cannot_process,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,houstereocamaS5.a1.20220321.220320_c.jpg,HOU,s5,20220321,220320,cannot_process,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
